cip_code,major,cip_family,traditional_entry_point,traditional_entry_median_wage_usd,new_entry_point_1,new_entry_point_2,new_entry_point_3,new_entry_wage_low_usd,new_entry_wage_high_usd,wage_lift_at_midpoint_usd,wage_source
51.2007,Pharmacoeconomics/Pharmaceutical Economics,Health Professions,HEOR analyst,90000,Payer value dossier modeler,Outcomes-based contract analyst,Health economics simulation engineer,100000,145000,32500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2008,"Clinical, Hospital, and Managed Care Pharmacy",Health Professions,Hospital staff pharmacist,132000,Remote utilization management pharmacist,Specialty pharmacy program lead,Benefit review clinical pharmacist,130000,160000,13000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences,Health Professions,Manufacturing pharmacist,90000,Continuous manufacturing process engineer,Cosmetic claims and safety analyst,Sterile fill-finish automation technician,85000,125000,15000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2010,Pharmaceutical Sciences,Health Professions,Bench research associate,72000,Translational biomarker associate,Lab automation scientist,Regulatory CMC associate,85000,125000,33000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2011,Pharmaceutical Marketing and Management,Health Professions,Pharmaceutical sales representative,90000,Omnichannel HCP marketing analyst,Market access and patient services lead,Medical content compliance reviewer,95000,135000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other",Health Professions,Pharmacy operations associate,70000,Pharmacy automation implementation analyst,Drug supply chain risk analyst,Digital therapeutics program coordinator,80000,115000,27500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2201,"Public Health, General",Health Professions,Health department program assistant,55000,Population health data analyst,Health equity program evaluator,Outbreak intelligence analyst,72000,110000,36000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2202,Environmental Health,Health Professions,County environmental health inspector,62000,ESG and site risk analyst,Climate and heat resilience planner,Indoor air quality data specialist,75000,115000,33000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2205,Health/Medical  Physics,Health Professions,Hospital medical physics assistant,95000,Radiotherapy AI planning specialist,Imaging QA automation physicist,Radiopharmaceutical dosimetry analyst,110000,160000,40000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2206,Occupational Health and Industrial Hygiene,Health Professions,Plant industrial hygienist,85000,Warehouse robotics ergonomics analyst,Semiconductor fab exposure specialist,EHS sensor and data analyst,90000,130000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2207,Public Health Education and Promotion,Health Professions,Community health educator,55000,Digital behavior change content designer,Member engagement program analyst,Trial recruitment outreach lead,68000,100000,29000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2208,Community Health and Preventive Medicine,Health Professions,Community program coordinator,55000,Value-based care population manager,Social needs referral platform analyst,Preventive care campaign analyst,70000,105000,32500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2209,Maternal and Child Health,Health Professions,MCH program coordinator,58000,Maternal telehealth program manager,Doula benefit network lead,Perinatal quality data analyst,72000,105000,30500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2210,International Public Health/International Health,Health Professions,NGO field program officer,55000,Global health monitoring and evaluation analyst,Pandemic preparedness policy analyst,Global market access analyst,70000,110000,35000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2211,Health Services Administration,Health Professions,Hospital administrative fellow,68000,Revenue cycle automation analyst,Care operations product analyst,Provider network strategy analyst,80000,120000,32000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2212,Behavioral Aspects of Health,Health Professions,Behavioral research assistant,52000,Digital behavior change UX researcher,Medication adherence program analyst,Behavioral experiment analyst,78000,115000,44500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2213,Patient Safety and Healthcare Quality,Health Professions,Hospital quality improvement coordinator,70000,Clinical AI safety monitoring analyst,Safety event data scientist,Accreditation automation lead,85000,125000,35000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2214,Public Health Genetics,Health Professions,Genetics program coordinator,65000,Newborn screening data analyst,Population genomics program manager,Genetic privacy policy analyst,80000,120000,35000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2299,"Public Health, Other",Health Professions,Public health program assistant,52000,Health policy data analyst,Grants and impact measurement analyst,Digital public health product associate,68000,100000,32000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2300,"Rehabilitation and Therapeutic Professions, General",Health Professions,Rehabilitation clinic aide,42000,Remote therapy program coordinator,Rehab outcomes data analyst,Wearable recovery program specialist,60000,90000,33000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2301,Art Therapy/Therapist,Health Professions,Inpatient art therapist,58000,Digital mental health creative lead,Employer wellbeing facilitator,Trauma-informed VR therapy designer,68000,100000,26000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2302,Dance Therapy/Therapist,Health Professions,Clinic dance and movement therapist,56000,Neuro-rehab movement program designer,Virtual mobility coach for aging in place,Movement content lead for health apps,65000,95000,24000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2305,Music Therapy/Therapist,Health Professions,Hospital music therapist,58000,Neurologic music therapist in dementia care,Audio wellbeing content designer,District behavioral support specialist,65000,95000,22000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2306,Occupational Therapy/Therapist,Health Professions,Hospital or skilled nursing occupational therapist,96000,Home-based OT with remote monitoring,Assistive technology and accessibility consultant,Employer return-to-work OT,100000,135000,21500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2307,Orthotist/Prosthetist,Health Professions,Clinic orthotist,82000,3D printed device design technician,Bionic device clinical specialist,Digital scanning and fabrication lead,90000,130000,28000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2308,Physical Therapy/Therapist,Health Professions,Outpatient physical therapist,100000,Hybrid virtual musculoskeletal clinician,Sports technology biomechanics specialist,Payer MSK program clinical lead,105000,140000,22500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2309,Therapeutic Recreation/Recreational Therapy,Health Professions,Long-term care recreation therapist,58000,Senior living engagement program manager,Adaptive sports program lead,Behavioral health milieu designer,62000,90000,18000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2310,Vocational Rehabilitation Counseling/Counselor,Health Professions,State vocational rehabilitation counselor,60000,Disability inclusion workplace consultant,Insurer return-to-work case analyst,Accessible job matching product specialist,72000,105000,28500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2311,Kinesiotherapy/Kinesiotherapist,Health Professions,VA kinesiotherapist,62000,Remote cardiac and pulmonary rehab coach,Exercise oncology program lead,Human performance lab technologist,70000,100000,23000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2312,Assistive/Augmentative Technology and Rehabilitation Engineering,Health Professions,Hospital rehabilitation engineer,78000,Accessibility engineer for consumer software,AAC device product specialist,Exoskeleton clinical applications engineer,95000,140000,39500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2313,Animal-Assisted Therapy,Health Professions,Facility therapy animal handler,45000,Hospital animal-assisted care program manager,Veterinary behavior and welfare specialist,Wellbeing vendor program lead,55000,85000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2314,Rehabilitation Science,Health Professions,Rehabilitation research coordinator,60000,Digital MSK outcomes analyst,Medical device clinical research associate,Recovery data product analyst,78000,115000,36500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2315,Drama Therapy/Therapist,Health Professions,Clinical drama therapist,56000,Simulated patient program lead,Behavioral health training designer,Narrative therapy content lead,62000,92000,21000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2316,Horticulture Therapy/Therapist,Health Professions,Garden therapy program lead,45000,Memory care garden program manager,Healing environment consultant,Workplace biophilic design specialist,55000,85000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2317,Play Therapy/Therapist,Health Professions,Child clinic play therapist,60000,Pediatric teletherapy clinician,School crisis and behavior support lead,Child mental health app clinical designer,68000,100000,24000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2399,"Rehabilitation and Therapeutic Professions, Other",Health Professions,Rehabilitation program assistant,48000,Care navigation specialist,Remote therapeutic monitoring coordinator,Digital health clinical operations analyst,62000,95000,30500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2601,Health Aide,Health Professions,Home health aide,36000,Remote patient monitoring technician,Community health worker in value-based care,Care coordination assistant,45000,65000,19000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2603,Medication Aide,Health Professions,Long-term care medication aide,38000,Medication adherence coordinator,Pharmacy automation operator,Clinical trial site assistant,45000,68000,18500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2604,Rehabilitation Aide,Health Professions,Clinic rehabilitation aide,36000,Remote therapy program assistant,Rehab outcomes data clerk,Adaptive fitness coach,44000,65000,18500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2605,Physical Therapy Technician/Aide,Health Professions,Outpatient physical therapy aide,37000,Virtual MSK care coach,Sports performance technician,Clinic operations coordinator,45000,70000,20500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2703,Medical Illustration/Medical Illustrator,Health Professions,Academic medical illustrator,72000,3D surgical animation artist,AR and VR medical training asset designer,Pharma scientific visualization lead,85000,130000,35500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2706,Medical Informatics,Health Professions,Hospital clinical systems analyst,88000,Clinical AI implementation analyst,FHIR interoperability engineer,Health data platform product analyst,105000,160000,44500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3101,Dietetics/Dietitian,Health Professions,Hospital clinical dietitian,70000,Telehealth nutrition clinician,Food as medicine program lead,Metabolic health app clinical lead,78000,115000,26500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3102,Clinical Nutrition/Nutritionist,Health Professions,Clinical nutritionist,68000,GLP-1 care program dietitian,Continuous glucose coaching lead,Nutrition science content reviewer,78000,115000,28500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3103,Dietetic Technician,Health Professions,Foodservice dietetic technician,42000,Digital health nutrition program coordinator,Menu and food service data analyst,Community food access coordinator,52000,75000,21500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3104,Dietitian Assistant,Health Professions,Clinic dietitian assistant,40000,Member nutrition support specialist,Clinical trial diet coordinator,Health coaching operations associate,48000,72000,20000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3199,"Dietetics and Clinical Nutrition Services, Other",Health Professions,Nutrition program assistant,45000,Nutrition data analyst,Supplement claims and regulatory analyst,Corporate wellbeing nutrition lead,60000,90000,30000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3201,Bioethics/Medical Ethics,Health Professions,Hospital ethics committee coordinator,65000,Clinical AI ethics reviewer,Research compliance and IRB analyst,Health data governance lead,85000,130000,42500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3202,Health Professions Education,Health Professions,Health school program coordinator,58000,Clinical simulation designer,Digital competency assessment lead,Workforce learning analytics analyst,72000,110000,33000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3203,Nursing Education,Health Professions,Nursing school clinical instructor,82000,Virtual clinical simulation lead,Health system upskilling designer,Nursing content lead at an education company,90000,125000,25500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3204,Medical/Health Humanities,Health Professions,Academic program assistant,48000,Patient experience content strategist,Health misinformation analyst,Narrative medicine program lead,65000,100000,34500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3205,History of Medicine,Health Professions,Archive or museum assistant,52000,Medical archive digitization lead,Scientific integrity researcher,Health policy briefing writer,65000,100000,30500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3206,Arts in Medicine/Health,Health Professions,Hospital arts program coordinator,50000,Patient experience design lead,Healing environment consultant,Arts and health grants manager,60000,92000,26000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3299,"Health Professions Education, Ethics, and Humanities, Other",Health Professions,Curriculum assistant,50000,Continuing education program manager,Credentialing platform analyst,Clinical content operations lead,65000,100000,32500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3300,"Alternative and Complementary Medicine and Medical Systems, General",Health Professions,Integrative clinic practitioner,55000,Health system integrative care coordinator,Wellness benefit network manager,Clinical content reviewer for wellness platforms,62000,95000,23500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3301,Acupuncture and Oriental Medicine,Health Professions,Private acupuncture practice,60000,Insurance-covered pain program clinician,VA and hospital integrative pain specialist,Employer wellbeing clinical partner,65000,100000,22500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3302,Traditional Chinese Medicine and Chinese Herbology,Health Professions,Herbal dispensary practitioner,55000,Botanical formulation consultant,Supplement quality and claims analyst,Integrative oncology support clinician,62000,95000,23500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3303,Naturopathic Medicine/Naturopathy,Health Professions,Naturopathic private practice,75000,Longevity clinic clinician,Telehealth chronic care naturopath,Clinical advisor at a supplement brand,80000,125000,27500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3304,Homeopathic Medicine/Homeopathy,Health Professions,Homeopathy private practice,48000,Wellness product compliance specialist,Health coaching program lead,Consumer health content reviewer,55000,85000,22000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3305,Ayurvedic Medicine/Ayurveda,Health Professions,Ayurveda practitioner,50000,Integrative wellness program designer,Hospitality wellbeing lead,Herbal product formulation advisor,58000,90000,24000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3306,Holistic/Integrative Health,Health Professions,Wellness center practitioner,50000,Employer wellbeing program manager,Digital wellbeing coaching lead,Integrative care navigator,62000,95000,28500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3399,"Alternative and Complementary Medicine and Medical Systems, Other",Health Professions,Integrative clinic assistant,45000,Wellness platform operations lead,Practitioner network manager,Clinical quality reviewer,58000,88000,28000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3401,Direct Entry Midwifery,Health Professions,Home birth midwife,62000,Birth center clinical lead,Maternal telehealth clinician,Midwife network operations lead,70000,110000,28000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3499,"Alternative and Complementary Medical Support Services, Other",Health Professions,Clinic support practitioner,42000,Care navigation specialist,Practitioner credentialing coordinator,Community birth program coordinator,55000,82000,26500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3501,Massage Therapy/Therapeutic Massage,Health Professions,Spa or clinic massage therapist,55000,Clinical MSK therapist in a PT practice,Sports recovery therapist,Covered pain program provider,60000,95000,22500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3502,Asian Bodywork Therapy,Health Professions,Bodywork private practice,50000,Integrative pain clinic practitioner,Onsite corporate wellbeing therapist,Recovery studio program lead,58000,88000,23000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3503,Somatic Bodywork,Health Professions,Somatic private practice,52000,Trauma-informed somatic clinician,Somatic content lead for mental health apps,Recovery program designer,60000,95000,25500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other",Health Professions,Bodywork practitioner,48000,Recovery studio manager,Wellbeing benefit vendor lead,Practitioner training designer,55000,85000,22000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3601,Movement Therapy and Movement Education,Health Professions,Studio movement educator,48000,Clinical movement specialist in MSK care,Workplace ergonomics coach,Movement program designer for digital health,58000,92000,27000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3602,Yoga Teacher Training/Yoga Therapy,Health Professions,Studio yoga instructor,45000,Clinical yoga therapist in pain or oncology care,Corporate wellbeing program lead,Fitness platform program designer,55000,90000,27500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3603,Hypnotherapy/Hypnotherapist,Health Professions,Private hypnotherapy practice,50000,Behavioral health adjunct clinician,Habit change program lead,Clinical content designer for behavior apps,58000,90000,24000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3701,Aromatherapy,Health Professions,Retail or spa aromatherapist,40000,Product formulation and claims specialist,Hospice comfort care program lead,Fragrance ingredient regulatory analyst,52000,85000,28500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3702,Herbalism/Herbalist,Health Professions,Herbal shop practitioner,42000,Botanical sourcing and quality analyst,Supplement product development associate,Label compliance specialist,55000,90000,30500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3703,Polarity Therapy,Health Professions,Private polarity practice,45000,Integrative care program coordinator,Practitioner network lead,Practitioner education designer,52000,82000,22000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3704,Reiki,Health Professions,Independent reiki practitioner,38000,Hospital integrative volunteer program manager,Hospice comfort care coordinator,Wellbeing vendor account lead,48000,78000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3799,"Energy and Biologically Based Therapies, Other",Health Professions,Independent practitioner,40000,Integrative program coordinator,Practitioner operations associate,Community wellbeing program lead,50000,80000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3801,Registered Nursing/Registered Nurse,Health Professions,Hospital staff nurse,94000,Clinical informatics nurse,Remote utilization review nurse,Clinical trial research nurse,85000,125000,11000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3802,Nursing Administration,Health Professions,Hospital nurse manager,110000,Workforce and staffing analytics lead,Virtual care operations director,Clinical AI deployment lead,115000,160000,27500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3803,Adult Health Nurse/Nursing,Health Professions,Medical-surgical staff nurse,92000,Chronic care virtual nurse,Payer care management nurse,Ambulatory complex care lead,88000,125000,14500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3804,Nurse Anesthetist,Health Professions,Hospital nurse anesthetist,214000,Ambulatory surgery center CRNA,Locum and travel CRNA,Anesthesia group operations lead,200000,260000,16000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3805,Family Practice Nurse/Nursing,Health Professions,Primary care nurse practitioner,129000,Telehealth primary care NP,Employer and retail clinic NP,Value-based care panel lead,125000,165000,16000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3806,Maternal/Child Health and Neonatal Nurse/Nursing,Health Professions,Hospital NICU nurse,100000,Maternal virtual care nurse,Lactation and postpartum program lead,Perinatal quality analyst,95000,135000,15000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3807,Nurse Midwife/Nursing Midwifery,Health Professions,Hospital nurse midwife,132000,Birth center clinical director,Virtual maternity care midwife,Maternal health startup clinical lead,130000,170000,18000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3808,Nursing Science,Health Professions,Academic nurse researcher,92000,Clinical outcomes data scientist,Research operations lead,Evidence lead at a digital health company,100000,145000,30500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3809,Pediatric Nurse/Nursing,Health Professions,Children's hospital nurse,92000,Pediatric virtual care nurse,School health program lead,Pediatric device clinical specialist,88000,125000,14500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3810,Psychiatric/Mental Health Nurse/Nursing,Health Professions,Inpatient psychiatric nurse,100000,Telepsychiatry nurse practitioner,Employer behavioral health clinical lead,Crisis response program clinician,120000,175000,47500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3811,Public Health/Community Nurse/Nursing,Health Professions,Public health department nurse,80000,Community value-based care nurse,Population health program manager,Home-based care clinical lead,82000,120000,21000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing,Health Professions,Operating room circulating nurse,100000,Ambulatory surgery center clinical lead,Surgical device clinical specialist,Operating room throughput analyst,98000,140000,19000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3813,Clinical Nurse Specialist,Health Professions,Hospital clinical nurse specialist,118000,Payer clinical program design lead,Quality and safety AI reviewer,Virtual specialty program lead,118000,160000,21000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3814,Critical Care Nursing,Health Professions,Intensive care staff nurse,100000,Tele-ICU nurse,Transport and rapid response lead,Critical care device clinical specialist,98000,140000,19000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3815,Occupational and Environmental Health Nursing,Health Professions,Corporate occupational health nurse,92000,Workforce health analytics lead,Warehouse and robotics safety clinical lead,Employer clinic program manager,95000,135000,23000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3816,Emergency Room/Trauma Nursing,Health Professions,Emergency department staff nurse,98000,Virtual triage and nurse line clinician,Mobile integrated health lead,Emergency flow operations analyst,95000,135000,17000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3818,Nursing Practice,Health Professions,Advanced practice clinician,125000,Virtual specialty care advanced practitioner,Clinical product lead at a health startup,Medical group value-based care lead,130000,175000,27500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3819,Palliative Care Nursing,Health Professions,Hospice nurse,88000,Home-based palliative care lead,Serious illness virtual clinician,Palliative quality analyst,90000,125000,19500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.3820,Clinical Nurse Leader,Health Professions,Unit clinical nurse leader,105000,Care model design lead,Clinical AI adoption lead,Quality program director,105000,150000,22500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
