cip,major,category,family,source,path_label,traditional_entry,job_1,why_1,soc_1,job_2,why_2,soc_2,job_3,why_3,soc_3
01.0207,Irrigation Management Technology/Technician,Agriculture,other,cip2,Agriculture,farm equipment mechanics and service technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0299,"Agricultural Mechanization, Other",Agriculture,other,cip2,Agriculture,agricultural sciences teacher,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0301,"Agricultural Production Operations, General",Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0302,Animal/Livestock Husbandry and Production,Agriculture,other,cip2,Agriculture,animal breeders,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0303,Aquaculture,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0304,Crop Production,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0306,Dairy Husbandry and Production,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0307,Horse Husbandry/Equine Science and Management,Agriculture,other,cip2,Agriculture,farm and home management educators,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0308,Agroecology and Sustainable Agriculture,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0310,Apiculture,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0399,"Agricultural Production Operations, Other",Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0401,Agricultural and Food Products Processing,Agriculture,other,cip2,Agriculture,food science technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0504,Dog/Pet/Animal Grooming,Agriculture,other,cip2,Agriculture,animal caretakers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0505,Animal Training,Agriculture,other,cip2,Agriculture,animal trainers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0507,Equestrian/Equine Studies,Agriculture,other,cip2,Agriculture,animal trainers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0509,Farrier Science,Agriculture,other,cip2,Agriculture,animal caretakers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0601,"Applied Horticulture/Horticulture Operations, General",Agriculture,other,cip2,Agriculture,landscaping and groundskeeping workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0603,Ornamental Horticulture,Agriculture,other,cip2,Agriculture,landscaping and groundskeeping workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0604,Greenhouse Operations and Management,Agriculture,other,cip2,Agriculture,landscaping and groundskeeping workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0605,Landscaping and Groundskeeping,Agriculture,other,cip2,Agriculture,landscaping and groundskeeping workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0606,Plant Nursery Operations and Management,Agriculture,other,cip2,Agriculture,landscaping and groundskeeping workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0607,Turf and Turfgrass Management,Agriculture,other,cip2,Agriculture,landscaping and groundskeeping workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0608,Floriculture/Floristry Operations and Management,Agriculture,other,cip2,Agriculture,first-line supervisors of retail sales workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0609,Public Horticulture,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0610,Urban and Community Horticulture,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0701,International Agriculture,Agriculture,other,cip2,Agriculture,food scientists and technologists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0801,Agricultural and Extension Education Services,Agriculture,other,cip2,Agriculture,farm and home management educators,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0802,Agricultural Communication/Journalism,Agriculture,other,cip2,Agriculture,audio and video technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0901,"Animal Sciences, General",Agriculture,other,cip2,Agriculture,animal scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0902,Agricultural Animal Breeding,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0903,Animal Health,Agriculture,other,cip2,Agriculture,animal scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0904,Animal Nutrition,Agriculture,other,cip2,Agriculture,animal scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0905,Dairy Science,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0906,Livestock Management,Agriculture,other,cip2,Agriculture,farm and home management educators,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0907,Poultry Science,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0999,"Animal Sciences, Other",Agriculture,other,cip2,Agriculture,animal scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1001,Food Science,Agriculture,other,cip2,Agriculture,food science technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1002,Food Technology and Processing,Agriculture,other,cip2,Agriculture,food science technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1003,Brewing Science,Agriculture,other,cip2,Agriculture,food science technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1004,Viticulture and Enology,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1005,Zymology/Fermentation Science,Agriculture,other,cip2,Agriculture,food science technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1099,"Food Science and Technology, Other",Agriculture,other,cip2,Agriculture,food science technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1101,"Plant Sciences, General",Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1102,Agronomy and Crop Science,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1103,Horticultural Science,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1104,Agricultural and Horticultural Plant Breeding,Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1105,Plant Protection and Integrated Pest Management,Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1106,Range Science and Management,Agriculture,other,cip2,Agriculture,farm and home management educators,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1199,"Plant Sciences, Other",Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1201,"Soil Science and Agronomy, General",Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1202,Soil Chemistry and Physics,Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1203,Soil Microbiology,Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1299,"Soil Sciences, Other",Agriculture,other,cip2,Agriculture,soil and plant scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.1399,"Agriculture/Veterinary Preparatory Programs, Other",Agriculture,other,cip2,Agriculture,agricultural technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8001,Veterinary Medicine,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General",Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8102,Comparative and Laboratory Animal Medicine,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8103,Large Animal/Food Animal and Equine Surgery and Medicine,Agriculture,other,cip2,Agriculture,animal scientists,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8104,Small/Companion Animal Surgery and Medicine,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8105,Veterinary Anatomy,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8106,Veterinary Infectious Diseases,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8107,Veterinary Microbiology and Immunobiology,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8108,Veterinary Pathology and Pathobiology,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8109,Veterinary Physiology,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8110,"Veterinary Preventive Medicine, Epidemiology, and Public Health",Agriculture,other,cip2,Agriculture,health specialties teacher,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8111,Veterinary Toxicology and Pharmacology,Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8199,"Veterinary Biomedical and Clinical Sciences, Other",Agriculture,other,cip2,Agriculture,veterinarians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8201,"Veterinary Administrative Services, General",Agriculture,other,cip2,Agriculture,first-line supervisors of office and administrative support workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8202,Veterinary Office Management/Administration,Agriculture,other,cip2,Agriculture,first-line supervisors of office and administrative support workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8203,Veterinary Reception/Receptionist,Agriculture,other,cip2,Agriculture,first-line supervisors of office and administrative support workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary,Agriculture,other,cip2,Agriculture,first-line supervisors of office and administrative support workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,Agriculture,other,cip2,Agriculture,veterinary assistants and laboratory animal caretakers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.8399,"Veterinary/Animal Health Technologies/Technicians, Other",Agriculture,other,cip2,Agriculture,veterinary assistants and laboratory animal caretakers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
03.0101,"Natural Resources/Conservation, General",Natural Resources,other,cip4,Natural Resources / Conservation,park ranger or field tech,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,EHS specialist,"The same field knowledge, pointed at a plant or campus instead of a park.",19-5011,GIS / planning analyst,"Land use, conservation, and infrastructure as maps and models.",17-1021
03.0103,Environmental Studies,Natural Resources,other,cip4,Natural Resources / Conservation,park ranger or field tech,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,EHS specialist,"The same field knowledge, pointed at a plant or campus instead of a park.",19-5011,GIS / planning analyst,"Land use, conservation, and infrastructure as maps and models.",17-1021
03.0104,Environmental Science,Natural Resources,other,cip4,Natural Resources / Conservation,park ranger or field tech,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,EHS specialist,"The same field knowledge, pointed at a plant or campus instead of a park.",19-5011,GIS / planning analyst,"Land use, conservation, and infrastructure as maps and models.",17-1021
