cip,major,category,traditional,new_1,why_1,new_2,why_2,new_3,why_3,traditional_wage,new_wage_low,new_wage_high
51.2305,Music Therapy/Therapist,Health Professions,Hospital music therapist,Neurologic music therapist in dementia care,"Typical first-two-years range $65,000 to $95,000. Not the Hospital music therapist seat.",Audio wellbeing content designer,"Typical first-two-years range $65,000 to $95,000. Not the Hospital music therapist seat.",District behavioral support specialist,"Typical first-two-years range $65,000 to $95,000. Not the Hospital music therapist seat.",58000,65000,95000
51.2306,Occupational Therapy/Therapist,Health Professions,Hospital or skilled nursing occupational therapist,Home-based OT with remote monitoring,"Typical first-two-years range $100,000 to $135,000. Not the Hospital or skilled nursing occupational therapist seat.",Assistive technology and accessibility consultant,"Typical first-two-years range $100,000 to $135,000. Not the Hospital or skilled nursing occupational therapist seat.",Employer return-to-work OT,"Typical first-two-years range $100,000 to $135,000. Not the Hospital or skilled nursing occupational therapist seat.",96000,100000,135000
51.2307,Orthotist/Prosthetist,Health Professions,Clinic orthotist,3D printed device design technician,"Typical first-two-years range $90,000 to $130,000. Not the Clinic orthotist seat.",Bionic device clinical specialist,"Typical first-two-years range $90,000 to $130,000. Not the Clinic orthotist seat.",Digital scanning and fabrication lead,"Typical first-two-years range $90,000 to $130,000. Not the Clinic orthotist seat.",82000,90000,130000
51.2308,Physical Therapy/Therapist,Health Professions,Outpatient physical therapist,Hybrid virtual musculoskeletal clinician,"Typical first-two-years range $105,000 to $140,000. Not the Outpatient physical therapist seat.",Sports technology biomechanics specialist,"Typical first-two-years range $105,000 to $140,000. Not the Outpatient physical therapist seat.",Payer MSK program clinical lead,"Typical first-two-years range $105,000 to $140,000. Not the Outpatient physical therapist seat.",100000,105000,140000
51.2309,Therapeutic Recreation/Recreational Therapy,Health Professions,Long-term care recreation therapist,Senior living engagement program manager,"Typical first-two-years range $62,000 to $90,000. Not the Long-term care recreation therapist seat.",Adaptive sports program lead,"Typical first-two-years range $62,000 to $90,000. Not the Long-term care recreation therapist seat.",Behavioral health milieu designer,"Typical first-two-years range $62,000 to $90,000. Not the Long-term care recreation therapist seat.",58000,62000,90000
51.2310,Vocational Rehabilitation Counseling/Counselor,Health Professions,State vocational rehabilitation counselor,Disability inclusion workplace consultant,"Typical first-two-years range $72,000 to $105,000. Not the State vocational rehabilitation counselor seat.",Insurer return-to-work case analyst,"Typical first-two-years range $72,000 to $105,000. Not the State vocational rehabilitation counselor seat.",Accessible job matching product specialist,"Typical first-two-years range $72,000 to $105,000. Not the State vocational rehabilitation counselor seat.",60000,72000,105000
51.2311,Kinesiotherapy/Kinesiotherapist,Health Professions,VA kinesiotherapist,Remote cardiac and pulmonary rehab coach,"Typical first-two-years range $70,000 to $100,000. Not the VA kinesiotherapist seat.",Exercise oncology program lead,"Typical first-two-years range $70,000 to $100,000. Not the VA kinesiotherapist seat.",Human performance lab technologist,"Typical first-two-years range $70,000 to $100,000. Not the VA kinesiotherapist seat.",62000,70000,100000
51.2312,Assistive/Augmentative Technology and Rehabilitation Engineering,Health Professions,Hospital rehabilitation engineer,Accessibility engineer for consumer software,"Typical first-two-years range $95,000 to $140,000. Not the Hospital rehabilitation engineer seat.",AAC device product specialist,"Typical first-two-years range $95,000 to $140,000. Not the Hospital rehabilitation engineer seat.",Exoskeleton clinical applications engineer,"Typical first-two-years range $95,000 to $140,000. Not the Hospital rehabilitation engineer seat.",78000,95000,140000
51.2313,Animal-Assisted Therapy,Health Professions,Facility therapy animal handler,Hospital animal-assisted care program manager,"Typical first-two-years range $55,000 to $85,000. Not the Facility therapy animal handler seat.",Veterinary behavior and welfare specialist,"Typical first-two-years range $55,000 to $85,000. Not the Facility therapy animal handler seat.",Wellbeing vendor program lead,"Typical first-two-years range $55,000 to $85,000. Not the Facility therapy animal handler seat.",45000,55000,85000
51.2314,Rehabilitation Science,Health Professions,Rehabilitation research coordinator,Digital MSK outcomes analyst,"Typical first-two-years range $78,000 to $115,000. Not the Rehabilitation research coordinator seat.",Medical device clinical research associate,"Typical first-two-years range $78,000 to $115,000. Not the Rehabilitation research coordinator seat.",Recovery data product analyst,"Typical first-two-years range $78,000 to $115,000. Not the Rehabilitation research coordinator seat.",60000,78000,115000
51.2315,Drama Therapy/Therapist,Health Professions,Clinical drama therapist,Simulated patient program lead,"Typical first-two-years range $62,000 to $92,000. Not the Clinical drama therapist seat.",Behavioral health training designer,"Typical first-two-years range $62,000 to $92,000. Not the Clinical drama therapist seat.",Narrative therapy content lead,"Typical first-two-years range $62,000 to $92,000. Not the Clinical drama therapist seat.",56000,62000,92000
51.2316,Horticulture Therapy/Therapist,Health Professions,Garden therapy program lead,Memory care garden program manager,"Typical first-two-years range $55,000 to $85,000. Not the Garden therapy program lead seat.",Healing environment consultant,"Typical first-two-years range $55,000 to $85,000. Not the Garden therapy program lead seat.",Workplace biophilic design specialist,"Typical first-two-years range $55,000 to $85,000. Not the Garden therapy program lead seat.",45000,55000,85000
51.2317,Play Therapy/Therapist,Health Professions,Child clinic play therapist,Pediatric teletherapy clinician,"Typical first-two-years range $68,000 to $100,000. Not the Child clinic play therapist seat.",School crisis and behavior support lead,"Typical first-two-years range $68,000 to $100,000. Not the Child clinic play therapist seat.",Child mental health app clinical designer,"Typical first-two-years range $68,000 to $100,000. Not the Child clinic play therapist seat.",60000,68000,100000
51.2399,"Rehabilitation and Therapeutic Professions, Other",Health Professions,Rehabilitation program assistant,Care navigation specialist,"Typical first-two-years range $62,000 to $95,000. Not the Rehabilitation program assistant seat.",Remote therapeutic monitoring coordinator,"Typical first-two-years range $62,000 to $95,000. Not the Rehabilitation program assistant seat.",Digital health clinical operations analyst,"Typical first-two-years range $62,000 to $95,000. Not the Rehabilitation program assistant seat.",48000,62000,95000
51.2601,Health Aide,Health Professions,Home health aide,Remote patient monitoring technician,"Typical first-two-years range $45,000 to $65,000. Not the Home health aide seat.",Community health worker in value-based care,"Typical first-two-years range $45,000 to $65,000. Not the Home health aide seat.",Care coordination assistant,"Typical first-two-years range $45,000 to $65,000. Not the Home health aide seat.",36000,45000,65000
51.2603,Medication Aide,Health Professions,Long-term care medication aide,Medication adherence coordinator,"Typical first-two-years range $45,000 to $68,000. Not the Long-term care medication aide seat.",Pharmacy automation operator,"Typical first-two-years range $45,000 to $68,000. Not the Long-term care medication aide seat.",Clinical trial site assistant,"Typical first-two-years range $45,000 to $68,000. Not the Long-term care medication aide seat.",38000,45000,68000
51.2604,Rehabilitation Aide,Health Professions,Clinic rehabilitation aide,Remote therapy program assistant,"Typical first-two-years range $44,000 to $65,000. Not the Clinic rehabilitation aide seat.",Rehab outcomes data clerk,"Typical first-two-years range $44,000 to $65,000. Not the Clinic rehabilitation aide seat.",Adaptive fitness coach,"Typical first-two-years range $44,000 to $65,000. Not the Clinic rehabilitation aide seat.",36000,44000,65000
51.2605,Physical Therapy Technician/Aide,Health Professions,Outpatient physical therapy aide,Virtual MSK care coach,"Typical first-two-years range $45,000 to $70,000. Not the Outpatient physical therapy aide seat.",Sports performance technician,"Typical first-two-years range $45,000 to $70,000. Not the Outpatient physical therapy aide seat.",Clinic operations coordinator,"Typical first-two-years range $45,000 to $70,000. Not the Outpatient physical therapy aide seat.",37000,45000,70000
51.2703,Medical Illustration/Medical Illustrator,Health Professions,Academic medical illustrator,3D surgical animation artist,"Typical first-two-years range $85,000 to $130,000. Not the Academic medical illustrator seat.",AR and VR medical training asset designer,"Typical first-two-years range $85,000 to $130,000. Not the Academic medical illustrator seat.",Pharma scientific visualization lead,"Typical first-two-years range $85,000 to $130,000. Not the Academic medical illustrator seat.",72000,85000,130000
51.2706,Medical Informatics,Health Professions,Hospital clinical systems analyst,Clinical AI implementation analyst,"Typical first-two-years range $105,000 to $160,000. Not the Hospital clinical systems analyst seat.",FHIR interoperability engineer,"Typical first-two-years range $105,000 to $160,000. Not the Hospital clinical systems analyst seat.",Health data platform product analyst,"Typical first-two-years range $105,000 to $160,000. Not the Hospital clinical systems analyst seat.",88000,105000,160000
51.3101,Dietetics/Dietitian,Health Professions,Hospital clinical dietitian,Telehealth nutrition clinician,"Typical first-two-years range $78,000 to $115,000. Not the Hospital clinical dietitian seat.",Food as medicine program lead,"Typical first-two-years range $78,000 to $115,000. Not the Hospital clinical dietitian seat.",Metabolic health app clinical lead,"Typical first-two-years range $78,000 to $115,000. Not the Hospital clinical dietitian seat.",70000,78000,115000
51.3102,Clinical Nutrition/Nutritionist,Health Professions,Clinical nutritionist,GLP-1 care program dietitian,"Typical first-two-years range $78,000 to $115,000. Not the Clinical nutritionist seat.",Continuous glucose coaching lead,"Typical first-two-years range $78,000 to $115,000. Not the Clinical nutritionist seat.",Nutrition science content reviewer,"Typical first-two-years range $78,000 to $115,000. Not the Clinical nutritionist seat.",68000,78000,115000
51.3103,Dietetic Technician,Health Professions,Foodservice dietetic technician,Digital health nutrition program coordinator,"Typical first-two-years range $52,000 to $75,000. Not the Foodservice dietetic technician seat.",Menu and food service data analyst,"Typical first-two-years range $52,000 to $75,000. Not the Foodservice dietetic technician seat.",Community food access coordinator,"Typical first-two-years range $52,000 to $75,000. Not the Foodservice dietetic technician seat.",42000,52000,75000
51.3104,Dietitian Assistant,Health Professions,Clinic dietitian assistant,Member nutrition support specialist,"Typical first-two-years range $48,000 to $72,000. Not the Clinic dietitian assistant seat.",Clinical trial diet coordinator,"Typical first-two-years range $48,000 to $72,000. Not the Clinic dietitian assistant seat.",Health coaching operations associate,"Typical first-two-years range $48,000 to $72,000. Not the Clinic dietitian assistant seat.",40000,48000,72000
51.3199,"Dietetics and Clinical Nutrition Services, Other",Health Professions,Nutrition program assistant,Nutrition data analyst,"Typical first-two-years range $60,000 to $90,000. Not the Nutrition program assistant seat.",Supplement claims and regulatory analyst,"Typical first-two-years range $60,000 to $90,000. Not the Nutrition program assistant seat.",Corporate wellbeing nutrition lead,"Typical first-two-years range $60,000 to $90,000. Not the Nutrition program assistant seat.",45000,60000,90000
51.3201,Bioethics/Medical Ethics,Health Professions,Hospital ethics committee coordinator,Clinical AI ethics reviewer,"Typical first-two-years range $85,000 to $130,000. Not the Hospital ethics committee coordinator seat.",Research compliance and IRB analyst,"Typical first-two-years range $85,000 to $130,000. Not the Hospital ethics committee coordinator seat.",Health data governance lead,"Typical first-two-years range $85,000 to $130,000. Not the Hospital ethics committee coordinator seat.",65000,85000,130000
51.3202,Health Professions Education,Health Professions,Health school program coordinator,Clinical simulation designer,"Typical first-two-years range $72,000 to $110,000. Not the Health school program coordinator seat.",Digital competency assessment lead,"Typical first-two-years range $72,000 to $110,000. Not the Health school program coordinator seat.",Workforce learning analytics analyst,"Typical first-two-years range $72,000 to $110,000. Not the Health school program coordinator seat.",58000,72000,110000
51.3203,Nursing Education,Health Professions,Nursing school clinical instructor,Virtual clinical simulation lead,"Typical first-two-years range $90,000 to $125,000. Not the Nursing school clinical instructor seat.",Health system upskilling designer,"Typical first-two-years range $90,000 to $125,000. Not the Nursing school clinical instructor seat.",Nursing content lead at an education company,"Typical first-two-years range $90,000 to $125,000. Not the Nursing school clinical instructor seat.",82000,90000,125000
51.3204,Medical/Health Humanities,Health Professions,Academic program assistant,Patient experience content strategist,"Typical first-two-years range $65,000 to $100,000. Not the Academic program assistant seat.",Health misinformation analyst,"Typical first-two-years range $65,000 to $100,000. Not the Academic program assistant seat.",Narrative medicine program lead,"Typical first-two-years range $65,000 to $100,000. Not the Academic program assistant seat.",48000,65000,100000
51.3205,History of Medicine,Health Professions,Archive or museum assistant,Medical archive digitization lead,"Typical first-two-years range $65,000 to $100,000. Not the Archive or museum assistant seat.",Scientific integrity researcher,"Typical first-two-years range $65,000 to $100,000. Not the Archive or museum assistant seat.",Health policy briefing writer,"Typical first-two-years range $65,000 to $100,000. Not the Archive or museum assistant seat.",52000,65000,100000
51.3206,Arts in Medicine/Health,Health Professions,Hospital arts program coordinator,Patient experience design lead,"Typical first-two-years range $60,000 to $92,000. Not the Hospital arts program coordinator seat.",Healing environment consultant,"Typical first-two-years range $60,000 to $92,000. Not the Hospital arts program coordinator seat.",Arts and health grants manager,"Typical first-two-years range $60,000 to $92,000. Not the Hospital arts program coordinator seat.",50000,60000,92000
51.3299,"Health Professions Education, Ethics, and Humanities, Other",Health Professions,Curriculum assistant,Continuing education program manager,"Typical first-two-years range $65,000 to $100,000. Not the Curriculum assistant seat.",Credentialing platform analyst,"Typical first-two-years range $65,000 to $100,000. Not the Curriculum assistant seat.",Clinical content operations lead,"Typical first-two-years range $65,000 to $100,000. Not the Curriculum assistant seat.",50000,65000,100000
51.3300,"Alternative and Complementary Medicine and Medical Systems, General",Health Professions,Integrative clinic practitioner,Health system integrative care coordinator,"Typical first-two-years range $62,000 to $95,000. Not the Integrative clinic practitioner seat.",Wellness benefit network manager,"Typical first-two-years range $62,000 to $95,000. Not the Integrative clinic practitioner seat.",Clinical content reviewer for wellness platforms,"Typical first-two-years range $62,000 to $95,000. Not the Integrative clinic practitioner seat.",55000,62000,95000
51.3301,Acupuncture and Oriental Medicine,Health Professions,Private acupuncture practice,Insurance-covered pain program clinician,"Typical first-two-years range $65,000 to $100,000. Not the Private acupuncture practice seat.",VA and hospital integrative pain specialist,"Typical first-two-years range $65,000 to $100,000. Not the Private acupuncture practice seat.",Employer wellbeing clinical partner,"Typical first-two-years range $65,000 to $100,000. Not the Private acupuncture practice seat.",60000,65000,100000
51.3302,Traditional Chinese Medicine and Chinese Herbology,Health Professions,Herbal dispensary practitioner,Botanical formulation consultant,"Typical first-two-years range $62,000 to $95,000. Not the Herbal dispensary practitioner seat.",Supplement quality and claims analyst,"Typical first-two-years range $62,000 to $95,000. Not the Herbal dispensary practitioner seat.",Integrative oncology support clinician,"Typical first-two-years range $62,000 to $95,000. Not the Herbal dispensary practitioner seat.",55000,62000,95000
51.3303,Naturopathic Medicine/Naturopathy,Health Professions,Naturopathic private practice,Longevity clinic clinician,"Typical first-two-years range $80,000 to $125,000. Not the Naturopathic private practice seat.",Telehealth chronic care naturopath,"Typical first-two-years range $80,000 to $125,000. Not the Naturopathic private practice seat.",Clinical advisor at a supplement brand,"Typical first-two-years range $80,000 to $125,000. Not the Naturopathic private practice seat.",75000,80000,125000
51.3304,Homeopathic Medicine/Homeopathy,Health Professions,Homeopathy private practice,Wellness product compliance specialist,"Typical first-two-years range $55,000 to $85,000. Not the Homeopathy private practice seat.",Health coaching program lead,"Typical first-two-years range $55,000 to $85,000. Not the Homeopathy private practice seat.",Consumer health content reviewer,"Typical first-two-years range $55,000 to $85,000. Not the Homeopathy private practice seat.",48000,55000,85000
51.3305,Ayurvedic Medicine/Ayurveda,Health Professions,Ayurveda practitioner,Integrative wellness program designer,"Typical first-two-years range $58,000 to $90,000. Not the Ayurveda practitioner seat.",Hospitality wellbeing lead,"Typical first-two-years range $58,000 to $90,000. Not the Ayurveda practitioner seat.",Herbal product formulation advisor,"Typical first-two-years range $58,000 to $90,000. Not the Ayurveda practitioner seat.",50000,58000,90000
